#Name; Vsys(CO measurement); Vsys(Opt); Vsys(Radio)
#=========================
eso137-34 2791.1071 2680 2744
ngc718 1775.0599 1736 1718
ngc3351 867.93378 779 778
ngc3783 3044.2755 2527 2915
ngc4224 2651.7857 2584 2605
ngc4254 2514.7662 2468 2406 
ngc4593 2553.9729 2363 2492
ngc5728 2834.2793 2792 2786 
ngc6814 1612.6271 1548 1563
ngc7172 2591.3947 2600 2534
ngc7213 1876.6032 1806 1749
ngc7582 1651.0498 1575 1591
ngc7727 1885.1732 1857 1870
